year,month,"co2, total","consumption, fossil fuel","consumption, nuclear","consumption, primary","consumption, renewable",gdp chained,"production, fossil fuel","production, nuclear","production, primary","production, renewable"
2007,7,1460.557,20.67063,2.1679310000000003,24.587148,1.7129699999999999,14938.5,14.159555,2.1679310000000003,18.039476,1.7119909999999998
2007,10,1481.692,21.039971,2.1189780000000003,24.710625999999998,1.528187,14991.8,14.245022000000002,2.1189780000000003,17.889955,1.525958
2008,1,1576.504,22.719739,2.175074,26.566207000000002,1.644746,14889.5,14.375591,2.175074,18.199196,1.648532
2008,4,1478.482,21.337751,1.956402,25.066074,1.7448549999999998,14963.4,14.270905000000003,1.956402,17.981092,1.753787
2008,7,1422.777,20.13231,2.1893130000000003,24.33831,1.984709,14891.6,14.502056,2.1893130000000003,18.68184,1.990472
2008,10,1382.6770000000001,19.509044,2.1164389999999997,23.340417,1.684203,14577.0,14.235539000000001,2.1164389999999997,18.035232,1.683254
2009,1,1510.21,21.717573,2.200058,25.724983,1.789357,14375.0,14.553256000000001,2.200058,18.546471,1.7931590000000002
2009,4,1333.355,19.416176999999998,1.9963739999999999,23.246440999999997,1.815458,14355.6,14.066686,1.9963739999999999,17.884828,1.82177
2009,7,1285.1889999999999,18.377495,2.1763,22.618364999999997,2.030722,14402.5,14.155122,2.1763,18.355999,2.0245759999999997
2009,10,1305.567,18.778396,2.0501449999999997,22.68215,1.816356,14541.9,14.207339000000001,2.0501449999999997,18.074644,1.817161
2010,1,1458.978,21.242627,2.115858,25.390938,1.9985530000000002,14604.8,14.003438,2.115858,18.138614,2.019319
2010,4,1358.6960000000001,19.784863,1.9596580000000001,23.751908999999998,1.9765249999999999,14745.9,14.213591000000001,1.9596580000000001,18.168109,1.99486
2010,7,1375.163,19.625162,2.162238,24.030140000000003,2.220114,14845.5,14.358219,2.162238,18.739522,2.219064
2010,10,1357.249,19.491417,2.129033,23.602609,1.972702,14939.0,14.905660000000001,2.129033,19.014932,1.9802399999999998
2011,1,1498.568,21.923341999999998,2.186191,26.29269,2.1624250000000003,14881.3,14.943729,2.186191,19.320221999999998,2.190302
2011,4,1335.474,19.605175,1.935819,23.906983,2.34245,14989.6,14.564338,1.935819,18.869358000000002,2.369202
2011,7,1344.637,19.27147,2.036587,23.817238,2.46975,15021.1,14.847411999999998,2.036587,19.370075,2.486076
2011,10,1331.149,19.219165,2.108751,23.509685,2.146347,15190.3,15.555333,2.108751,19.826335999999998,2.162252
2012,1,1382.709,20.534679,2.184843,25.008203,2.2581700000000002,15291.0,15.975601000000001,2.184843,20.460332,2.299887
2012,4,1246.562,18.647439000000002,1.9013780000000002,22.820907,2.239618,15362.4,15.104878,1.9013780000000002,19.268523000000002,2.262266
2012,7,1307.869,19.161512,2.05756,23.606665,2.3393189999999997,15380.8,15.406906,2.05756,19.805943,2.341477
